,name,resource,category,homepage,description,projectrank,show,github_id,npm_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads
12,Node.js & Typescript Bybit API SDK,,libraries-api,https://github.com/tiagosiebler/bybit-api,"Node.js SDK for the Bybit APIs and WebSockets, with TypeScript & browser support.",23,True,tiagosiebler/bybit-api,bybit-api,['nodejs'],https://github.com/tiagosiebler/bybit-api,MIT,2020-07-21 09:53:38,2023-01-07 12:12:08,2023-01-07 12:12:04,589.0,76.0,48.0,7.0,143.0,10.0,63.0,107.0,78.0,78.0,19.0,https://www.npmjs.com/package/bybit-api,3878.0,3878.0,2.0,2022-09-19 23:37:03,3.0.1,9.0,
13,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",19,True,CryptoSignal/Crypto-Signal,,['python'],https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2022-12-14 05:20:03,2022-08-09 13:26:32,565.0,,1072.0,306.0,202.0,52.0,205.0,4231.0,,,28.0,,,,2.0,,,,
14,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,ctubio/Krypto-trading-bot,,['cplusplus'],https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2022-09-18 23:11:54,2021-12-08 19:01:54,5345.0,,741.0,235.0,117.0,68.0,943.0,2933.0,,,56.0,,,62.0,2.0,2021-01-15 05:27:12,0.6.x,5.0,4181.0
15,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",19,True,Haehnchen/crypto-trading-bot,,['nodejs'],https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2023-01-07 11:49:20,2023-01-05 18:13:33,904.0,58.0,817.0,171.0,131.0,100.0,99.0,2669.0,,,15.0,,,,2.0,,,,
16,Kelp,,bots-frameworks,https://github.com/stellar/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,19,False,stellar/kelp,,['go'],https://github.com/stellar/kelp,,2018-08-08 23:31:18,2022-12-10 17:12:39,2021-11-26 23:51:20,833.0,,213.0,56.0,329.0,149.0,289.0,959.0,,,15.0,,,2529.0,2.0,2021-11-05 20:56:13,1.12.0,25.0,134062.0
17,Blackbird,,bots-frameworks,https://github.com/butor/blackbird,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy.,18,False,butor/blackbird,,['cplusplus'],https://github.com/butor/blackbird,MIT,2015-03-09 00:21:13,2022-07-28 00:07:14,2020-08-26 13:59:01,514.0,,1032.0,389.0,95.0,217.0,231.0,5673.0,,,46.0,,,,3.0,,,,
18,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,True,bitcoinvsalts/node-binance-trader,,['nodejs'],https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2022-11-24 01:02:46,2022-11-24 01:02:44,511.0,8.0,372.0,90.0,70.0,3.0,58.0,1094.0,,,27.0,,,2.0,3.0,2022-04-19 22:57:14,0.6.0,12.0,116.0
19,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",17,False,binance-exchange/binance-java-api,,['java'],https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-01-03 18:02:12,2021-06-25 22:24:51,208.0,,620.0,96.0,134.0,110.0,184.0,797.0,,,43.0,,,,3.0,,,,
20,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,16,False,JulyIghor/QtBitcoinTrader,,['cplusplus'],https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2022-12-31 05:16:06,2022-12-31 04:43:42,314.0,2.0,332.0,100.0,40.0,49.0,192.0,653.0,,,11.0,,,,3.0,2022-12-31 05:16:06,1.42.10,39.0,
21,Mida,,bots-frameworks,https://github.com/Reiryoku-Technologies/Mida,The open-source and cross-platform trading framework.,16,True,Reiryoku-Technologies/Mida,,['nodejs'],https://github.com/Reiryoku-Technologies/Mida,MIT,2020-09-21 19:13:08,2023-01-06 16:03:08,2023-01-06 00:18:08,839.0,9.0,18.0,13.0,54.0,12.0,16.0,262.0,16.0,16.0,3.0,,,,3.0,2022-12-06 19:24:20,2022.5.0,15.0,
22,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,15,False,binance-exchange/binance-api-node,,['nodejs'],https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2022-11-30 10:18:19,2022-11-27 19:32:59,491.0,3.0,170.0,44.0,25.0,,,558.0,,,98.0,,,,3.0,2018-03-09 22:50:04,0.7.1,4.0,
23,Magic8bot,,bots-frameworks,https://github.com/magic8bot/magic8bot,Magic8bot is a cryptocurrency trading bot using Node.js and MongoDB.,15,False,magic8bot/magic8bot,,['nodejs'],https://github.com/magic8bot/magic8bot,MIT,2018-07-09 13:27:43,2023-01-07 06:53:56,2020-12-26 14:42:48,164.0,,71.0,32.0,85.0,,186.0,313.0,,,6.0,,,,3.0,,,,
24,WolfBot,,bots-frameworks,https://github.com/Ekliptor/WolfBot,Crypto currency trading bot written in TypeScript for NodeJS.,14,True,Ekliptor/WolfBot,,['nodejs'],https://github.com/Ekliptor/WolfBot,AGPL-3.0,2018-04-23 00:45:12,2023-01-07 03:30:17,2022-02-18 12:10:27,541.0,,186.0,42.0,73.0,3.0,60.0,622.0,,,12.0,,,,3.0,,,,
25,Frostybot-JS,,libraries-api,https://github.com/CryptoMF/frostybot-js,"Frostybot-JS is a cryptocurrency trading API endpoint, designed to execute webhook or REST requests as orders on a..",12,False,CryptoMF/frostybot-js,,['nodejs'],https://github.com/CryptoMF/frostybot-js,MIT,2020-10-23 18:25:57,2022-06-17 19:04:02,2021-11-12 09:27:51,475.0,,101.0,19.0,54.0,35.0,28.0,292.0,,,9.0,,,,3.0,,,,
26,Wolfinch,,bots-frameworks,https://github.com/ldmonko/wolfinch,Wolfinch is your friendly trader Bot written in Python.,12,False,ldmonko/wolfinch,,['python'],https://github.com/ldmonko/wolfinch,GPL-3.0,2018-01-12 06:25:09,2022-12-08 04:54:48,2021-03-04 03:20:57,659.0,,52.0,12.0,7.0,6.0,17.0,246.0,,,6.0,,,,3.0,2020-07-12 22:31:10,1.1.1,1.0,
27,Fast Trade,,libraries-api,https://github.com/jrmeier/fast-trade,low code backtesting library utilizing pandas and technical analysis indicators.,12,True,jrmeier/fast-trade,,['python'],https://github.com/jrmeier/fast-trade,AGPL-3.0,2019-08-06 16:22:53,2022-05-01 16:31:51,2022-05-01 15:46:38,231.0,,24.0,7.0,12.0,,3.0,223.0,,,5.0,,,,3.0,2022-03-09 05:42:51,0.4.0,17.0,
28,TriangularArbitrage,,bots-frameworks,https://github.com/tiagosiebler/TriangularArbitrage,Detect triangular arbitrage opportunities within Binance price tickers.,11,False,tiagosiebler/TriangularArbitrage,,['nodejs'],https://github.com/tiagosiebler/TriangularArbitrage,,2017-12-31 18:04:02,2022-12-07 17:42:04,2020-10-26 19:50:52,64.0,,131.0,53.0,15.0,8.0,48.0,428.0,,,6.0,,,,3.0,,,,
29,Node.js & Typescript OKX (OKEX) API SDK,,libraries-api,https://github.com/tiagosiebler/okx-api,"Node.js SDK for the OKX APIs and WebSockets, with TypeScript & browser support, integration tests, beautification &..",11,False,tiagosiebler/okx-api,okx-api,['nodejs'],https://github.com/tiagosiebler/okx-api,MIT,2022-07-09 09:48:52,2023-01-07 12:37:36,2023-01-07 12:37:33,46.0,34.0,3.0,1.0,7.0,1.0,3.0,5.0,3.0,3.0,3.0,https://www.npmjs.com/package/okx-api,354.0,354.0,3.0,,,,
30,Node.js & Typescript Bitget API SDK,,libraries-api,https://github.com/tiagosiebler/bitget-api,"Node.js SDK for the Bitget APIs and WebSockets, with TypeScript & browser support.",9,False,tiagosiebler/bitget-api,bitget-api,['nodejs'],https://github.com/tiagosiebler/bitget-api,MIT,2022-10-09 22:00:11,2022-12-25 12:08:10,2022-12-25 12:08:02,21.0,20.0,4.0,1.0,2.0,1.0,,4.0,,,,https://www.npmjs.com/package/bitget-api,342.0,342.0,3.0,,,,
31,bTrader,,bots-frameworks,https://github.com/gabriel-milan/btrader,Triangle arbitrage trading bot for Binance.,8,False,gabriel-milan/btrader,,['rust'],https://github.com/gabriel-milan/btrader,GPL-3.0,2020-08-13 12:08:24,2021-05-30 18:29:56,2021-05-30 18:29:55,37.0,,45.0,15.0,1.0,,12.0,193.0,,,2.0,,,,3.0,,,,
32,Cassandre trading bot,,bots-frameworks,,,0,False,cassandre-trading-bot,,['java'],,,,,,,,,,,,,,,,,,,,,,,,
